Date,Share Price,BVPS,Market Cap.,Equity,Dividends,FFO,No. Shares,Default,GLA,No. Shareholders
2018-01-31,100.9,95.47,100601537.8,95185639,0.35,369000,997042,0,13186,
2018-02-28,101.91,95.45,101608550.2,95171938,0.78,779000,997042,0,13186,
2018-03-31,103.5,95.39,103193847,95111864,0.52,516000,997042,0,13186,
2018-04-30,101.5,95.38,101199763,95102501,0.64,647000,997042,0,13186,
2018-05-31,96.6,95.38,96314257.2,95096543,0.64,641000,997042,0,13186,
2018-06-30,93.2,97.4,92924314.4,97112839,0.64,611000,997042,0,13186,
2018-07-31,94,97.39,93721948,97103885,0.64,649000,997042,0,13186,
2018-08-31,92.77,97.4,92495586.34,97116460,0.64,633000,997042,0,13186,
2018-09-30,89.81,97.4,89544342.02,97110616,0.65,644000,997042,0,13186,
2018-10-31,91.74,97.39,91468633.08,97105410,0.65,647000,997042,0,13186,
2018-11-30,94.9,97.4,94619285.8,97115106,0.65,642000,997042,0,13186,
2018-12-31,97.8,97.4,97510707.6,97109900,0.66,654000,997042,0,13186,
2019-01-31,98,97.39,97710116,97103273,0.55,661000,997042,0,13186,
2019-02-28,98.1,97.39,97809820.2,97098213,0.66,653000,997042,0,13186,
2019-03-31,97.54,97.34,97251476.68,97055825,0.66,675000,997042,0,13186,
2019-04-30,96.99,97.33,96703103.58,97041594,0.66,669000,997042,0,13186,
2019-05-31,103.3,93.29,295533449.2,266887581.2,0.66,941000,2860924,0,13186,
2019-06-30,104.21,94.65,298136890,270792876.3,0.44,1209000,2860924,0,13186,
2019-07-31,104.37,94.65,298594637.9,270788438.4,0.47,1331000,2860924,0,20272,
2019-08-31,105.9,94.65,302971851.6,270791147,0.48,1379000,2860924,0,20272,
2019-09-30,105.81,94.62,302714368.4,270696840,0.47,1334000,2860924,0,43379,
2019-10-31,111.78,96.74,319794084.7,276772990,0.55,1686000,2860924,0,43379,
2019-11-30,119.98,94.65,343253661.5,270777689,0.56,1547000,2860924,0,52640,
2019-12-31,144.65,94.65,413832656.6,270773250,0.57,1557000,2860924,0,52640,
2020-01-31,127.5,94.65,364767810,270787367,0.59,1701000,2860924,0,52640,
2020-02-29,122.9,94.66,351607559.6,270802754,0.59,1678000,2860924,0,52640,
2020-03-31,100.85,94.65,288524185.4,270798703,0.59,1678000,2860924,0,52640,
2020-04-30,108.27,94.65,309752241.5,270794265,0.59,1706000,2860924,0,52640,
2020-05-31,116.5,94.65,333297646,270789827.3,0.59,1767000,2860924,0,52640,
