Date,Share Price,BVPS,Market Cap.,Equity,Dividends,FFO,No. Shares,Default,GLA,No. Shareholders
2016-07-31,83.2,85.7,222049152,228721302,0.67,,2668860,,,
2016-08-31,82.49,85.78,220154261.4,228934810.8,0.67,,2668860,,,
2016-09-30,79,87.36,210839940,233151609.6,0.67,,2668860,,,
2016-10-31,87,85.04,232190820,226959854.4,0.67,,2668860,,,
2016-11-30,85.3,86.11,227653758,229815534.6,0.8,,2668860,,,
2016-12-31,80.5,88.44,214843230,236033978.4,0.67,,2668860,,,
2017-01-31,89,93.33,237528540,249084703.8,0.67,,2668860,,,
2017-02-28,94,92.65,250872840,247269879,0.67,,2668860,,,
2017-03-31,91.2,92.53,243400032,246949615.8,0.67,,2668860,,,
2017-04-30,91,94.28,242866260,251620120.8,0.67,,2668860,,,
2017-05-31,90.86,93.79,242492619.6,250312379.4,0.67,,2668860,,,
2017-06-30,92.85,92,247803651,245535120,0.67,,2668860,,,
2017-07-31,93.5,92.34,249538410,246442532.4,0.67,,2668860,,,
2017-08-31,94,96.11,250872840,256504134.6,0.67,,2668860,,,
2017-09-30,96.5,96.16,257544990,256637577.6,0.67,,2668860,,,
2017-10-31,98,95.67,261548280,255329836.2,0.67,,2668860,,,
2017-11-30,97.7,96.45,260747622,257411547,0.72,,2668860,,,
2017-12-31,97.7,96.45,260747622,257411547,0.72,,2668860,,,
2018-01-31,101.15,98.06,269955189,261708411.6,0.67,,2668860,,,
2018-02-28,106.69,97.94,284740673.4,261388148.4,0.67,,2668860,,,
2018-03-31,106,99.16,282899160,264644157.6,0.67,,2668860,,,
2018-04-30,106.5,98.59,284233590,263122907.4,0.67,,2668860,,,
2018-05-31,99.99,92.68,266859311.4,247349944.8,0.67,,2668860,,,
2018-06-30,95.99,88.01,256183871.4,234886368.6,0.67,,2668860,,,
2018-07-31,92.6,88.94,247136436,237368408.4,0.67,,2668860,,,
2018-08-31,92.7,88.94,247403322,237368408.4,0.67,,2668860,,,
2018-09-30,86,87.49,229521960,233498561.4,0.6,,2668860,,,
2018-10-31,91.9,87.45,245268234,233391807,0.6,,2668860,,,
2018-11-30,90.04,90.85,240304154.4,242465931,0.6,,2668860,,,
2018-12-31,90,92.3,240197400,246335778,0.6,,2668860,,,
2019-01-31,96.68,93.68,258025384.8,250018804.8,0.6,,2668860,,,
2019-02-28,94.98,96.17,253488322.8,256664266.2,0.6,,2668860,,,
2019-03-31,90.24,94.44,240837926.4,252047138.4,0.6,,2668860,,,
2019-04-30,93.45,93.45,249404967,249404967,0.65,,2668860,,,
2019-05-31,93.15,93.15,248604309,248604309,0.75,,2668860,,,
2019-06-30,94.55,94.99,252340713,253515011.4,0.75,,2668860,,,
2019-07-31,105.4,98,281297844,261548280,0.7,,2668860,,,
2019-08-31,104.95,96.79,280096857,258318959.4,0.65,,2668860,,,
2019-09-30,104.99,97.25,280203611.4,259546635,0.65,,2668860,,,
2019-10-31,108.7,100.49,290105082,268193741.4,0.65,,2668860,,,
2019-11-30,111.4,102.67,297311004,274011856.2,0.85,,2668860,,,
2019-12-31,126.8,111.91,338411448,298672122.6,1.5,,2668860,,,
2020-01-31,122.47,106.49,326855284.2,284206901.4,0.75,,2668860,,,
2020-02-29,116,102.01,309587760,272250408.6,0.75,,2668860,,,
2020-03-31,94.2,88.35,251406612,235793781,0.5,,2668860,,,
2020-04-30,90.85,89.66,242465931,239289987.6,0.65,,2668860,,,
2020-05-31,95.72,89.66,255463279.2,241131501,0.5,,2668860,,,
