Date,Share Price,BVPS,Market Cap.,Equity,Dividends,FFO,No. Shares,Default,GLA,No. Shareholders
2016-07-31,1170.01,106.88,3979204010,363492758.2,0.87,3090151,3401000,,174000,
2016-08-31,1157,107.08,3934957000,364165476,0.87,2927221,3401000,,174000,
2016-09-30,1160,107.79,3945160000,366593790,0.87,2959077,3401000,,173000,
2016-10-31,1144.99,108.24,3894110990,368134443,0.87,2963392,3401000,,173000,
2016-11-30,1101.02,108.33,3744569020,368440533,0.87,2974100,3401000,,176000,
2016-12-31,1100,110.54,3741100000,375929535,0.87,2205055,3401000,,176000,
2017-01-31,1196.5,110.55,4069296500,375929535,0.87,3686292,3401000,,176000,
2017-02-28,1350,110,4591350000,375990753,0.87,2515830,3401000,,176000,
2017-03-31,1193.2,110.56,4058073200,374092995,0.87,1491704,3401000,0.2237,176000,
2017-04-30,1233.99,110.94,4196799990,376021362,0.87,3554784,3401000,0.21,176000,
2017-05-31,1255,111.04,4268255000,377300138,0.87,2505474,3401000,0.21,176000,
2017-06-30,1245,110.63,4234245000,377657243,0.87,2457607,3401000,0.21,176000,
2017-07-31,1238,110.37,4210438000,376245828,0.87,2513106,3401000,0.224,176000,
2017-08-31,1251,112.01,4254651000,375381974,0.87,2469203,3401000,0.224,174000,
2017-09-30,1295.23,112.27,4405077230,380939208,0.87,2391685,3401000,0.222,174000,
2017-10-31,1283,111.74,4363483000,381840473,0.87,2423112,3401000,0.227,174000,
2017-11-30,1323,112.73,4499523000,380017537,0.87,2448317,3401000,0.2232,172000,
2017-12-31,1296.03,114.18,4407798030,383384527,0.87,1426886,3401000,0.2218,170000,
2018-01-31,1314,113.86,4468914000,388322779,0.87,2820732,3401000,0.241,170000,
2018-02-28,1379.99,117.34,4693345990,387251464,0.87,2034160,3401000,0.241,169000,
2018-03-31,1440,116.99,4897440000,399086944,0.87,2623095,3401000,0.224,167000,
2018-04-30,140.92,116.42,1110638433,922037966.6,0.87,3029929,7881340,0.182,205000,
2018-05-31,134,115.74,1056099560,917545602.8,0.87,2809038,7881340,0.173,203000,
2018-06-30,124.99,115.96,985088686.6,912186291.6,0.75,5321616,7881340,0.06,201000,
2018-07-31,125.85,116.04,991866639,913920186.4,0.75,5086359,7881340,0.06,199000,
2018-08-31,126.02,116.12,993206466.8,914550693.6,0.75,4412295,7881340,0.043,199000,
2018-09-30,125.4,116.48,988320036,915181200.8,0.75,5575018,7881340,0.043,286000,
2018-10-31,131.03,120.83,1032691980,918018483.2,0.75,5412517,7881340,0.047,286000,
2018-11-30,136.81,121.02,1078246125,952302312.2,0.75,5042789,7881340,0.047,286000,
2018-12-31,140.9,107.35,1110480806,953799766.8,0.75,5970144,7881340,0.04,286000,
2019-01-31,145.49,107.35,1146656157,846034922.5,0.75,5648641,7881340,0.04,270000,
2019-02-28,152.5,118.21,1201904350,846034922.5,0.75,5099468,7881340,0.04,270428,
2019-03-31,156.77,118.58,1235557672,931661226.8,0.75,4886306,7881340,0.049,270428,
2019-04-30,157.5,119,1241311050,934570175.6,0.75,8454462,7881340,0.065,270428,
2019-05-31,154.8,80.39,1220031432,937906699.2,0.75,5596610,7881340,0.065,288000,
2019-06-30,151.64,84.86,1801818628,955235685.5,0.75,4981545,11882212,0.068,288000,
2019-07-31,159.85,89.06,1899371588,1008269805,0.75,5876493,11882212,0.068,491000,
2019-08-31,152,93.65,1806096224,1058256998,0.78,19040158,11882212,0.068,491000,
2019-09-30,154,97.67,1829860648,1112794996,0.78,5965770,11882212,0.068,491000,
2019-10-31,162.19,101.97,1927175964,1160490827,0.78,6768146,11882212,0.068,491000,
2019-11-30,180,106.95,2138798160,1211633639,0.78,5780606,11882212,0.068,491000,
2019-12-31,212,111.19,2519028944,1270838622,0.78,8950713,11882212,0.068,491000,
2020-01-31,191.5,111.19,2275443598,1321187749,0.78,18859253,11882212,0.064,491000,
2020-02-29,178.31,134.31,2118717222,1321187749,0.78,5497390,11882212,0.064,489000,
2020-03-31,158.05,134.31,1877983607,1595945850,0.78,6866325,11882212,0.068,458000,
2020-04-30,173,133.85,2055622676,1595945850,0.78,13207264,11882212,0.068,458000,
2020-05-31,183.4,133.85,2179197681,1590434076,0.78,4353623,11882212,0.068,458000,
