Date,Share Price,BVPS,Market Cap.,Equity,Dividends,FFO,No. Shares,Default,GLA,No. Shareholders
2017-03-31,107.65,101.87,430607643.2,407476388.3,0.89,,4000071,,,
2017-04-30,107,101.75,428007597,406990263.3,0.65,,4000071,,,
2017-05-31,104.49,101.15,417967418.8,404607270.8,0.6,,4000071,,,
2017-06-30,104.5,90.95,1057576680,920414734.2,0.56,,10120351,,,
2017-07-31,105,102.38,1062636855,1036168651,0.5,,10120351,,,
2017-08-31,106.2,103.11,1074781276,1043507826,0.6,,10120351,,,
2017-09-30,107,103.4,1082877557,1046420287,0.58,,10120351,,,
2017-10-31,107,102.84,1082877557,1040780752,0.64,,10120351,,,
2017-11-30,108,101.67,1092997908,1028968417,0.77,,10120351,,,
2017-12-31,106.5,101.84,1077817382,1030635615,0.69,,10120351,,,
2018-01-31,107.98,103.38,1092795501,1046256733,0.86,,10120351,,,
2018-02-28,109,103.35,1103118259,1045896201,0.75,,10120351,,,
2018-03-31,108.4,104.5,1097046048,1057576700,0.75,,10120351,,,
2018-04-30,108.37,103.93,1533685184,1470849019,0.6,,14152304,,,
2018-05-31,107,99.99,1867306541,1745002202,0.59,,17451463,,,
2018-06-30,106.75,101.39,1862943675,1769404196,0.65,,17451463,,,
2018-07-31,105.97,101.83,1849331534,1777089031,0.89,,17451463,,,
2018-08-31,108.4,100.98,1891738589,1762332065,0.85,,17451463,,,
2018-09-30,105.73,102.05,1845143183,1780917280,0.59,,17451463,,,
2018-10-31,108.39,103.98,1891564075,1814634762,0.82,,17451463,,,
2018-11-30,110.26,103.58,1924198310,1807595619,0.85,,17451463,,,
2018-12-31,109.03,105.03,1902733011,1832899796,0.55,,17451463,,,
2019-01-31,111.63,106.89,1948106815,1865344603,0.46,,17451463,,,
2019-02-28,110.99,106.75,1936937878,1863000981,0.63,,17451463,,,
2019-03-31,110.11,106.87,1921580591,1864951957,0.81,,17451463,,,
2019-04-30,111.5,107.07,1945838125,1868528175,0.85,,17451463,,,
2019-05-31,113.85,108.56,2792748470,2662943987,0.85,,24530070,,,
2019-06-30,118.9,110.95,2916625323,2721718686,0.75,,24530070,,,
2019-07-31,118.99,111.4,2918833029,2732710346,0.65,,24530070,,,
2019-08-31,115.5,110.73,2833223085,2716214651,0.68,,24530070,,,
2019-09-30,116.24,112.95,2851375337,2770671479,0.65,,24530070,,,
2019-10-31,118,114.95,3870608152,3770622557,0.57,,32801764,,,
2019-11-30,116.3,113.19,3814845153,3712825322,0.5,,32801764,,,
2019-12-31,117.02,113.68,3838462423,3728929116,0.75,,32801764,,,
2020-01-31,116.98,114.14,3837150353,3743984192,0.85,,32801764,,,
2020-02-29,116.74,115.86,3829277929,3800300000,0.8,,32801764,,,
2020-03-31,105.9,114.91,3473706808,3769403712,0.7,,32801764,,,
2020-04-30,109.13,109.08,3579656505,3578016417,0.66,,32801764,,,
2020-05-31,111.44,114.91,3655428580,3769403712,0.4,11866521.33,32801764,,,
