Date,Share Price,BVPS,Market Cap.,Equity,Dividends,FFO,No. Shares,Default,GLA,No. Shareholders
2017-11-30,99.81,96.52,320892443.7,310314985.2,0.61,,3215033,0.072,24000,
2017-12-31,106.09,98.89,341082851,317934613.4,0.61,,3215033,0.012,28000,
2018-01-31,110.02,98.42,353717930.7,316423547.9,0.61,,3215033,0.087,28000,
2018-02-28,111.5,98.1,358476179.5,315394737.3,0.61,,3215033,0.057,28000,
2018-03-31,108.2,97.88,347866570.6,314687430,0.61,,3215033,0.054,28000,
2018-04-30,113.2,99.64,923777203.2,813119792.6,0.61,,8160576,0.088,28000,
2018-05-31,102.62,99.52,837438309.1,812140523.5,0.61,,8160576,0.071,28000,
2018-06-30,101.3,99.45,826666348.8,811569283.2,0.61,,8160576,0.081,28000,
2018-07-31,102.5,101.89,836459040,831481088.6,0.61,,8160576,-0.059,28000,
2018-08-31,99.5,98.97,811977312,807652206.7,0.61,,8160576,-0.003,28000,
2018-09-30,95.2,98.79,776886835.2,806183303,0.61,,8160576,0.06,49000,
2018-10-31,101.81,97.79,830828242.6,798022727,0.61,,8160576,0.026,49000,
2018-11-30,105.12,97.66,857839749.1,796961852.2,0.6,,8160576,0.044,49000,
2018-12-31,107.94,101.08,880852573.4,824871022.1,0.6,,8160576,0.028,49000,
2019-01-31,107,101.33,873181632,826911166.1,0.6,,8160576,0.187,49000,
2019-02-28,106.5,100.71,869101344,821851609,0.6,,8160576,0.122,49000,
2019-03-31,109.48,100.43,893419860.5,819566647.7,0.6,,8160576,0.059,49000,
2019-04-30,106.99,100.39,873100026.2,819240224.6,0.49,,8160576,-0.011,49000,
2019-05-31,105.19,100.23,858410989.4,817934532.5,0.56,,8160576,0.043,49000,
2019-06-30,106.08,100.3,865673902.1,818505772.8,0.55,,8160576,0.011,69514,
2019-07-31,112.42,100.4,917411953.9,819321830.4,0.65,,8160576,0.044,63300,
2019-08-31,114,103.01,930305664,840620933.8,0.92,,8160576,-0.081,63300,
2019-09-30,123.85,103.89,1278982850,1072858524,0.92,,10326870,0.015,63500,
2019-10-31,130.46,103.7,1347243460,1070896419,0.63,,10326870,0.043,102100,
2019-11-30,135.89,103.8,1403318364,1071929106,0.63,,10326870,0.018,102000,
2019-12-31,143.1,122.87,1477775097,1268862517,0.77,,10326870,0.089,102000,
2020-01-31,137.03,123.11,1415090996,1271340966,0.63,,10326870,0.012,105000,
2020-02-29,127.85,121.76,1824546711,1737636351,0.63,,14270995,0.007,106000,
2020-03-31,98.2,121.97,1401411709,1740633260,0.3,,14270995,0.013,106000,
2020-04-30,98.15,121.97,1400698159,1740633260,0.27,,14270995,0.08,106000,
2020-05-31,101.9,121.44,1454214391,1733000000,0.23,168000,14270995,0.496,106000,
