Date,Share Price,BVPS,Market Cap.,Equity,Dividends,FFO,No. Shares,Default,GLA,No. Shareholders
2018-02-28,102.9,49.14,512951766.6,244974998,0.5,,4984954,0.037,17400,
2018-03-31,102.78,49.14,512353572.1,244974998,0.5,,4984954,0.034,17000,
2018-04-30,101.9,49.27,507966812.6,245585569,0.53,,4984954,0.013,17000,
2018-05-31,100.32,49.04,500090585.3,244471400,0.5,,4984954,0.008,17000,
2018-06-30,97.1,49.03,484039033.4,244431693,0.29,,4984954,0.029,17000,
2018-07-31,96.55,58.16,481297308.7,289938302,0.43,,4984954,0.019,17000,
2018-08-31,90.5,58.17,451138337,289989405,0.5,,4984954,0.01,17000,
2018-09-30,87.5,58.03,436183475,289301150,0.5,,4984954,-0.003,18000,
2018-10-31,96.8,57.98,482543547.2,289006405,0.6,,4984954,0.026,18000,
2018-11-30,101.75,55.28,965094069.5,524341752,0.65,,9484954,-0.004,62000,
2018-12-31,108.58,54.78,1029876305,519579063,0.88,,9484954,0.005,62000,
2019-01-31,108,53.85,1024375032,510806898,0.6,,9484954,0.01,62000,
2019-02-28,108.9,53.88,1032911491,511085878,0.6,,9484954,0.043,62000,
2019-03-31,107.19,53.8,1016692219,510301545,0.54,,9484954,-0.014,62000,
2019-04-30,107.5,69.67,1472818908,954476151,0.51,,13700641,0.008,62000,
2019-05-31,108.13,69.26,1481450311,948850007,0.54,,13700641,0,66700,
2019-06-30,110.44,69,1513098792,945319932,0.56,,13700641,-0.002,70800,
2019-07-31,107.5,71.27,1472818908,976405532,0.57,,13700641,0.015,70800,
2019-08-31,112.13,71.6,1536252875,980982626,0.57,,13700641,0.001,70800,
2019-09-30,113.5,77.48,2066572021,1410749523,0.59,,18207683,0.006,73100,
2019-10-31,121,77.42,2203129643,1409576357,0.59,,18207683,0.012,73100,
2019-11-30,122.81,91.59,2236085549,1667635122,0.52,,18207683,0.005,95100,
2019-12-31,138.77,103.8,2526680170,1889981397,0.61,,18207683,-0.001,95100,
2020-01-31,137.5,103.78,2503556413,1889635123,0.5,,18207683,-0.002,95100,
2020-02-29,133.99,108.76,2439647445,1980202598,0,,18207683,0.045,110100,
2020-03-31,91.88,108.66,1672921914,1978389774,0,,18207683,0.011,110100,
2020-04-30,94.22,108.7,1715527892,1979204550,0,-3643381,18207683,0.091,110100,
2020-05-31,96.33,107.15,1753946103,1950999654,0.27,3782897,18207683,0.22,110100,
